side,entry,sl,tp,lots,open_idx,open_time,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,reason
short,0.76899617,0,0,1.0,10,2021-01-05 12:00:00,0.7707341160000001,2021-01-12 12:00:00,40,30,-0.0023600190583525286,-23.600190583525286,max_hold
short,0.770425884,0,0,1.0,40,2021-01-12 12:00:00,0.7771754040000001,2021-01-12 20:00:00,42,2,-0.008860764844707715,-88.39853270802625,signal
short,0.776004768,0,0,1.0,44,2021-01-13 04:00:00,0.76910379,2021-01-18 04:00:00,62,18,0.008792958245328723,86.94478235585449,signal
short,0.770765816,0,0,1.0,68,2021-01-19 04:00:00,0.770784126,2021-01-19 08:00:00,69,1,-0.00012375559426725517,-1.2344553773233178,signal
long,0.771764322,0,0,1.0,70,2021-01-19 12:00:00,0.774125144,2021-01-25 04:00:00,92,22,0.0029589934423011393,29.51214723071255,signal
short,0.7710857520000001,0,0,1.0,96,2021-01-25 20:00:00,0.774664902,2021-01-26 20:00:00,102,6,-0.004741701640468096,-47.43230246969584,signal
short,0.77419513,0,0,1.0,103,2021-01-27 00:00:00,0.7608021300000001,2021-01-28 08:00:00,111,8,0.01719925632572744,171.23220904734237,signal
short,0.763707228,0,0,1.0,112,2021-01-28 12:00:00,0.767663502,2021-01-28 20:00:00,114,2,-0.005280354270524178,-53.474272617554895,signal
short,0.764387092,0,0,1.0,116,2021-01-29 04:00:00,0.7627525199999999,2021-02-01 16:00:00,125,9,0.002038408689925989,20.534010604533478,signal
short,0.765006968,0,0,1.0,127,2021-02-02 00:00:00,0.759511872,2021-02-04 16:00:00,143,16,0.007083066599205116,71.49706494813177,signal
short,0.759118146,0,0,1.0,145,2021-02-05 00:00:00,0.761772324,2021-02-05 08:00:00,147,2,-0.003596396462112626,-36.5594576032133,signal
short,0.76679661,0,0,1.0,149,2021-02-05 16:00:00,0.767593488,2021-02-08 04:00:00,152,3,-0.0011392299465174428,-11.539284055324927,signal
short,0.770115946,0,0,1.0,155,2021-02-08 16:00:00,0.775064982,2021-02-12 04:00:00,176,21,-0.0065263518054721106,-66.03024508213814,signal
short,0.775734822,0,0,1.0,179,2021-02-12 16:00:00,0.775745118,2021-02-16 16:00:00,191,12,-0.00011327257679818418,-1.1385538089867462,signal
long,0.775345038,0,0,1.0,194,2021-02-17 04:00:00,0.777554458,2021-02-18 12:00:00,202,8,0.002749595846642947,27.634298661966156,signal
short,0.775434882,0,0,1.0,203,2021-02-18 16:00:00,0.791718312,2021-02-25 16:00:00,233,30,-0.021099094028375148,-212.6355559770353,max_hold
short,0.7783143060000001,0,0,1.0,238,2021-02-26 12:00:00,0.775575084,2021-03-01 04:00:00,242,4,0.0034194290775378558,33.733733557950536,signal
long,0.773294628,0,0,1.0,243,2021-03-01 08:00:00,0.77674462,2021-03-01 20:00:00,246,3,0.004361419845787364,43.1738930450038,signal
short,0.7750949500000001,0,0,1.0,247,2021-03-02 00:00:00,0.777415452,2021-03-03 20:00:00,258,11,-0.0030938293366508073,-30.759529708245573,signal
short,0.778684232,0,0,1.0,259,2021-03-04 00:00:00,0.7780755839999999,2021-03-04 08:00:00,261,2,0.0006816364772622696,6.756012514965347,signal
short,0.77194558,0,0,1.0,264,2021-03-04 20:00:00,0.76830363,2021-03-05 20:00:00,270,6,0.004617884387653343,45.8011737667823,signal
long,0.770934156,0,0,1.0,272,2021-03-08 04:00:00,0.7644970700000001,2021-03-08 08:00:00,273,1,-0.00844972215188754,-84.19317470822047,signal
long,0.7670933879999999,0,0,1.0,274,2021-03-08 12:00:00,0.771875594,2021-03-10 16:00:00,287,13,0.006134190093162584,60.604717098468676,signal
long,0.773524674,0,0,1.0,288,2021-03-10 20:00:00,0.778534262,2021-03-11 20:00:00,294,6,0.006376313126632019,63.38328465322564,signal
short,0.777474474,0,0,1.0,296,2021-03-12 04:00:00,0.774974964,2021-03-15 04:00:00,302,6,0.0031149094067878533,31.160967394785086,signal
short,0.775224924,0,0,1.0,303,2021-03-15 08:00:00,0.7725344759999999,2021-03-17 08:00:00,315,12,0.003370538571074203,33.82326268045634,signal
short,0.77204556,0,0,1.0,316,2021-03-17 12:00:00,0.782896548,2021-03-18 00:00:00,319,3,-0.014154854482940035,-142.52234223890417,signal
short,0.77824432,0,0,1.0,323,2021-03-18 16:00:00,0.760842138,2021-03-24 00:00:00,343,20,0.02226082108508031,220.96700200065123,signal
long,0.7598919479999999,0,0,1.0,350,2021-03-25 04:00:00,0.763437282,2021-03-30 08:00:00,369,19,0.004565576480092038,46.32800330710346,signal
long,0.760972164,0,0,1.0,370,2021-03-30 12:00:00,0.759358098,2021-03-30 20:00:00,372,2,-0.0022210578735440117,-22.640505944974777,signal
short,0.75989799,0,0,1.0,374,2021-03-31 04:00:00,0.759581886,2021-03-31 20:00:00,378,4,0.00031598215044632404,3.21383175202706,signal
short,0.755608848,0,0,1.0,381,2021-04-01 08:00:00,0.76175232,2021-04-01 20:00:00,384,3,-0.008230492405245078,-83.73819839287471,signal
short,0.7626474400000001,0,0,1.0,385,2021-04-02 00:00:00,0.763012572,2021-04-08 08:00:00,411,26,-0.0005787690626744636,-5.840013545480511,signal
short,0.764287112,0,0,1.0,412,2021-04-08 12:00:00,0.77455488,2021-04-15 12:00:00,442,30,-0.013534438235038504,-136.48890560498836,max_hold
short,0.77424512,0,0,1.0,442,2021-04-15 12:00:00,0.7757551199999999,2021-04-19 20:00:00,456,14,-0.0020502867515650603,-20.39640611813608,signal
short,0.7766446400000001,0,0,1.0,457,2021-04-20 00:00:00,0.77445486,2021-04-22 04:00:00,470,13,0.002719539191051574,26.99871067008966,signal
short,0.773775214,0,0,1.0,471,2021-04-22 08:00:00,0.77580513,2021-04-26 00:00:00,481,10,-0.0027233923796891085,-27.110491970860302,signal
long,0.77780553,0,0,1.0,483,2021-04-26 08:00:00,0.77524492,2021-04-28 00:00:00,493,10,-0.003392095390476284,-33.67525319685384,signal
long,0.77450487,0,0,1.0,494,2021-04-28 04:00:00,0.7765046680000001,2021-04-28 16:00:00,497,3,0.002482034119424004,24.55697611201669,signal
short,0.778564256,0,0,1.0,500,2021-04-29 04:00:00,0.7778555399999999,2021-04-29 08:00:00,501,1,0.0008102858171800133,8.036778074803227,signal
short,0.779174134,0,0,1.0,502,2021-04-29 12:00:00,0.77200437,2021-05-03 04:00:00,512,10,0.009101747962542123,90.34836633294017,signal
short,0.772375494,0,0,1.0,513,2021-05-03 08:00:00,0.7731445979999999,2021-05-03 12:00:00,514,1,-0.001095764373642665,-10.97608934528842,signal
short,0.77554486,0,0,1.0,515,2021-05-03 16:00:00,0.7708241339999999,2021-05-04 20:00:00,522,7,0.00598697993304999,59.90486785442964,signal
short,0.771835602,0,0,1.0,525,2021-05-05 08:00:00,0.78475692,2021-05-10 04:00:00,542,17,-0.016841023563201687,-169.5177406250156,signal
short,0.78859225,0,0,1.0,544,2021-05-10 12:00:00,0.7832166119999999,2021-05-11 12:00:00,550,6,0.006716752256949103,66.47062319851261,signal
short,0.7798440000000001,0,0,1.0,556,2021-05-12 12:00:00,0.7724444580000001,2021-05-12 20:00:00,558,2,0.009388490005693494,93.53485222728877,signal
