,mean,std
rsi_6,49.640953306466265,17.9857926724751
rsi_36,49.47796961333425,6.9787057118763025
ema_20,0.6852984335323453,0.04407951498813683
atr_6,0.0027112208823936836,0.0009258944010169594
atr_10,0.002711510597035601,0.0008533895729188201
atr_22,0.0027120548039894724,0.000765609921639355
atr_54,0.002713052460174539,0.0006801864853372213
stoch_3,50.119700513478314,24.046072291870647
stoch_18,49.75231579894169,28.778303514106813
stoch_26,49.343824341774486,29.100298572474287
cci_4,0.23049403448954173,89.76204059534403
cci_6,0.5817340479886413,98.74256195838845
cci_8,0.3142598615223713,102.98652411469382
cci_40,-4.725996219699405,113.20258224484331
wpr_4,-49.799410224704246,30.45999526656551
wpr_6,-49.852425974006096,30.311362522376463
wpr_24,-50.58649489132013,30.31102998985767
adx_4,54.800320733525425,17.84153607140523
adx_6,44.94898181012882,15.572299625429729
adx_20,24.30042606013437,9.104790029328107
adx_36,17.9842728337429,6.749686807083775
macd,-0.00010719941127579998,0.0018964661246860743
macd_signal,-0.00010539508796232163,0.001829462404326485
macd_hist,-1.8043427067460875e-06,0.000735298816187743
hour,9.996398393129242,6.832313523485256
dow,3.0009696633882808,1.4148498651245276
session_london,0.4997922149882255,0.5000346012559919
session_ny,0.33314863554508933,0.4713718386817381
session_asia,0.5003463083529575,0.5000345244957983
ret_1,-1.972978667405457e-05,0.002768896003645623
ret_3,-5.975785150297826e-05,0.0047816349124459295
ret_5,-9.887755644826153e-05,0.00610426884202632
ret_10,-0.0001954334298379277,0.008392752484381977
ret_20,-0.00037782401994736117,0.011368859078983077
pct_rank,0.4733591910236875,0.3484399563016187
sharpe_20,-0.005968203204044881,0.22274587608138302
hl_range,0.0039617539243662556,0.002300033458465493
body_size,0.001969652310569331,0.0019305783537178413
d1_ema_slow,0.690522553697188,0.03692068254434072
d1_trend_dir,-0.3364731957334811,0.9417582837103405
d1_atr,0.006719709477767005,0.001642702088565127
d1_atr_pct,0.39493420141293806,0.31283858662876035
d1_adx,29.4563379051503,11.299173635263198
d1_alignment,0.4741653968693725,0.4993667253978471
atr_zscore_100,0.07986072029089902,1.188711718131162
vol_state,1.0281202382601469,0.8340638287899761
adx_trending,0.5765341460036016,0.49414204283989915
adx_strong,0.15265272198365423,0.3596773500048953
range_pos_50,0.48732481702451863,0.30509272920449165
dist_ema50,-0.0005330255617121485,0.008467639033086906
dist_ema200,-0.0019094385773652863,0.01565088036437592
candle_hammer,0.27109017869511015,0.9194849484270172
candle_engulfing,0.009419587200443275,0.38813083138222393
candle_inside,0.1457265549245048,0.3528563169004135
candle_outside,0.13464468762986564,0.3413673166870657
candle_star,0.000831140047097936,0.28150602722415274
candle_soldiers,0.0051253636237706054,0.4811219268899666
candle_marubozu,0.006787643717966477,0.8256644238057819
candle_harami,-0.009281063859260285,0.24868125572038746
candle_piercing,0.0,0.18906077642136448
