,mean,std
rsi_6,53.40558377594266,19.067710626393136
rsi_10,53.12693343186175,15.143924784886627
rsi_14,52.956855204053184,12.985828587385418
rsi_18,52.83791037979775,11.576015776531532
rsi_22,52.745571439326774,10.560779012643488
rsi_26,52.66949191920072,9.781491918207582
rsi_30,52.60485415897077,9.156929640545709
rsi_34,52.548987619332316,8.641077341538743
rsi_36,52.52377363689015,8.414614758733475
ema_20,135.29029471571408,16.495873905451575
ema_50,135.1987707897091,16.521087777875664
ema_100,135.04701999253498,16.55424479588847
ema_200,134.7518779271395,16.60803736627799
atr_6,0.4599889412494806,0.253917944810849
atr_10,0.45994531098490093,0.23634865003532382
atr_14,0.45989256522925615,0.22579542666916672
atr_18,0.4598126009530406,0.21880522475578762
atr_22,0.4597326751461421,0.21407858201191887
atr_26,0.45965416049591357,0.21032484517793518
atr_30,0.4595716304418894,0.20717425057368166
atr_34,0.4594916560105278,0.20455338753395882
atr_38,0.4594195944424435,0.20215012879265318
atr_42,0.4593535709585816,0.19995242980455905
atr_46,0.459284511857598,0.19801070924633862
atr_50,0.4592143094611442,0.19619550088298174
atr_54,0.4591446440005541,0.19451416743124786
atr_56,0.45911260222052913,0.19374548226899696
stoch_3,55.01303710453248,23.666208653881665
stoch_4,55.423951522113875,24.834729794422824
stoch_5,55.746364118848874,25.631122338672743
stoch_6,56.037334492971326,26.204103857509196
stoch_7,56.26609113051669,26.641470873917623
stoch_8,56.465879204026876,26.985858381060044
stoch_9,56.6267014701025,27.285710138142743
stoch_10,56.772896958443,27.547188336994676
stoch_11,56.87207271579166,27.78722375900458
stoch_12,56.967335753860645,27.986830330157883
stoch_13,57.061615893123694,28.147529224861245
stoch_14,57.1634253786217,28.273611447681432
stoch_15,57.25580348767281,28.371313734789254
stoch_16,57.33274369533038,28.452569478134098
stoch_17,57.390839155786125,28.518969095482607
stoch_18,57.42837658843884,28.576128253166335
stoch_19,57.46129031309461,28.63751391827203
stoch_20,57.50336665146281,28.697916050965585
stoch_21,57.54661190288544,28.758043647117145
stoch_22,57.604778641518216,28.816247705924454
stoch_23,57.6613754260313,28.875686576241858
stoch_24,57.715289519461145,28.925171665386014
stoch_25,57.77012925326914,28.96486258249975
stoch_26,57.8245195923078,28.989492736930856
cci_4,8.933792225626819,89.41277937920977
cci_6,11.244160598082837,98.77184096368046
cci_8,12.822076840134368,103.683349240715
cci_10,14.227242780518077,107.05685811171958
cci_12,15.32522901292146,109.35827947492376
cci_14,15.947046653722122,110.77764632456362
cci_16,16.490037174686243,111.70728931832913
cci_18,16.723183550538856,112.54227687492988
cci_20,16.809637509745116,113.0028794045653
cci_22,16.883535024223576,113.20988341380185
cci_24,17.088225726854134,113.45092230028595
cci_26,17.471151695140602,113.46019227581195
cci_28,17.894831422590386,113.37400264188419
cci_30,18.343867885977286,113.41170860507418
cci_32,18.79153910015515,113.4732004565768
cci_34,19.24161546591633,113.5066282548012
cci_36,19.70462327048206,113.60048085422424
cci_38,20.160520062461558,113.70506762747756
cci_40,20.59100646710902,113.73161713910693
wpr_4,-44.66394161809254,29.56824471478718
wpr_6,-43.97653184344369,29.695250425819356
wpr_8,-43.54978167794708,29.716773677113125
wpr_10,-43.19864890648566,29.845565266490734
wpr_12,-43.02416394129658,29.950962042749723
wpr_14,-42.814705264313616,29.985560815707778
wpr_16,-42.63776729397701,29.99187112743471
wpr_18,-42.542514057016206,29.98581023256423
wpr_20,-42.48572012684859,29.973588377858782
wpr_22,-42.378052075949576,29.98409576330886
wpr_24,-42.26531742039618,30.020959746850334
wpr_26,-42.16443707107218,30.01079582619055
wpr_28,-42.0506114340435,29.995154228955577
wpr_30,-41.962399311368614,29.97828120954296
wpr_32,-41.87665323916609,29.974308149564518
wpr_34,-41.78443412491897,29.943718391184312
wpr_36,-41.686104849146695,29.93805589479727
wpr_38,-41.59283994172877,29.941373716386998
