,mean,std
rsi_min,43.13613399260227,15.344573476917812
rsi_max,59.692112588580834,15.438432341352982
rsi_mean,51.2767628761691,12.302389435417375
rsi_std,4.515614846071029,2.5998628547103233
ema_20,117.17741626286706,12.761534176453468
ema_50,117.14551691987673,12.69557556543997
ema_100,117.09271951920846,12.587736681234885
ema_200,116.98446550409078,12.377475571513338
atr_min,0.2963183533104511,0.1333729685825643
atr_max,0.4356421270173718,0.23409656450122274
atr_mean,0.3571800522541328,0.16231746686223109
atr_std,0.034747403896049314,0.034079406621141776
stoch_min,43.187801629146115,25.74162819425935
stoch_max,64.18723027388484,24.96860165788044
stoch_mean,53.734944401908095,26.207173619692796
stoch_std,7.001239577765481,4.890854225351547
cci_min,-55.638132770915526,105.58390243478843
cci_max,67.68657142761838,101.09867355917697
cci_mean,6.110561603434436,103.30021578217986
cci_std,36.03092308059961,17.360552885558246
wpr_min,-59.40606385344004,27.671441218112662
wpr_max,-32.95139763654665,26.45327486759608
wpr_mean,-46.078442057771085,27.802283423924592
wpr_std,8.66759169888134,5.964442003886582
adx_min,20.924830992165873,8.234145766548261
adx_max,44.223363741734374,15.298493038401332
adx_mean,29.009211023557018,10.406968095850145
adx_std,6.75362993554567,3.86493587042238
ema_long,116.98446550409078,12.377475571513338
macd,0.014888554920145696,0.3054554486200724
macd_signal,0.014832942506304285,0.296081596410623
macd_hist,5.561237881759586e-05,0.10993260353602163
bb_position,0.5200279515179321,0.33611798862505843
hour,9.992434855701877,6.8320824758829
dow,3.00028019052956,1.4135198897273564
session_london,0.4997198094704399,0.5000174443186632
session_ny,0.33293639674978986,0.4712805107850342
session_asia,0.5006304286915102,0.5000171253737383
ret_1,1.8471438077892968e-05,0.0022388735567455717
ret_3,5.5699891426169795e-05,0.0039029091587591967
ret_5,9.299357733258615e-05,0.005036858126641184
ret_10,0.00018651653404314934,0.0071541594831101936
ret_20,0.0003672442813112916,0.010019252768817601
close_zscore,0.10275937672737462,1.3795728602023767
pct_rank,0.534339450826562,0.34529560620426547
sharpe_20,0.025250790467217708,0.23994325607874675
hl_range,0.0030071684806668533,0.0022811486744857496
body_size,0.0014592598627066404,0.0016858737162334164
d1_rsi,51.81422849322849,11.761868835104318
d1_ema_fast,116.880255808536,12.179804981592135
d1_ema_slow,115.71235958201737,10.286596318074382
d1_trend_dir,0.21210423087699637,0.977281287957117
d1_atr,0.901023651063323,0.39549174661095465
d1_atr_pct,0.41513098907256935,0.3229469760961586
d1_adx,31.192839486606193,12.4790202393441
d1_alignment,0.5343933875035024,0.4988331736583304
atr_percentile_100,0.515701877276548,0.31308041374268714
atr_zscore_100,0.1114760399495657,1.2383412234281033
vol_state,1.0537265340431494,0.8328539327437762
adx_trending,0.6343513589240684,0.4816284570643535
adx_strong,0.21175399271504622,0.40856571102078687
range_pos_50,0.5501134832032782,0.2961812745610162
range_pos_20,0.5404819310374055,0.2980846076888035
dist_ema50,0.0003872942504903336,0.007734973810553407
dist_ema200,0.0016052508272625388,0.015841039840666208
candle_hammer,0.3308349677780891,0.9030970920225
candle_engulfing,0.0050434295320818156,0.40536135433338377
candle_inside,0.17280750910619222,0.3780940294820962
candle_outside,0.12265340431493416,0.3280504406458135
candle_star,-0.004553096105351639,0.27335934751799457
candle_soldiers,0.019823479966377136,0.47886249424885174
candle_marubozu,0.025567385822359203,0.8126697321813124
candle_harami,-0.0034323339871112357,0.24613750174608998
candle_piercing,0.0004903334267301765,0.17616196534934686
candle_mathold,0.0,1e-08
